purchase_month,orders,gmv,aov,avg_review,on_time_rate
2018-03-01,7168,981051.06,136.87,3.76,0.786
2018-02-01,6624,837895.43,126.49,3.86,0.84
2017-11-01,7421,1003862.14,135.27,3.95,0.857
2017-12-01,5618,742183.79,132.11,4.04,0.916
2017-04-01,2377,353842.98,148.86,4.07,0.921
2018-01-01,7187,945456.29,131.55,4.07,0.934
2017-01-01,787,120098.27,152.6,4.09,0.969
2017-02-01,1718,244959.35,142.58,4.1,0.968
2017-03-01,2617,368341.32,140.75,4.13,0.944
2018-04-01,6919,993592.98,143.6,4.17,0.947
2017-10-01,4547,660179.62,145.19,4.17,0.947
2017-06-01,3205,429916.61,134.14,4.18,0.961
2017-05-01,3640,503159.19,138.23,4.18,0.964
2018-05-01,6833,992871.75,145.31,4.21,0.918
2017-07-01,3946,492287.3,124.76,4.22,0.966
2017-09-01,4227,621415.91,147.01,4.22,0.948
2017-08-01,4272,568245.79,133.02,4.27,0.967
2018-06-01,6145,863265.53,140.48,4.29,0.986
2018-07-01,6233,878044.27,140.87,4.29,0.955
2018-08-01,6421,848860.1,132.2,4.29,0.896
