state,orders,gmv,avg_delivery_days,on_time_rate,avg_review
RR,45,7739.44,29.3,0.878,3.64
AL,411,80314.81,24.5,0.761,3.76
MA,736,119291.62,21.5,0.803,3.78
SE,345,58920.85,21.5,0.848,3.84
PA,969,178821.12,23.7,0.876,3.86
BA,3344,507108.83,19.3,0.86,3.88
CE,1323,226264.06,21.2,0.847,3.88
RJ,12697,1811623.42,15.2,0.865,3.9
PI,490,86660.09,19.4,0.84,3.93
PE,1643,261739.94,18.4,0.892,4.02
PB,531,114874.1,20.4,0.89,4.03
AC,81,15982.95,21.0,0.963,4.05
ES,2018,273532.13,15.7,0.878,4.05
GO,1998,287870.46,15.5,0.918,4.07
DF,2120,300886.45,12.9,0.929,4.09
SC,3600,518578.28,14.9,0.902,4.1
TO,278,49407.99,17.6,0.872,4.11
MT,902,156313.53,18.0,0.932,4.11
RN,482,83034.98,19.2,0.892,4.11
RO,246,46031.64,19.3,0.971,4.13
MS,708,116754.65,15.5,0.884,4.13
RS,5416,742559.78,15.2,0.929,4.15
MG,11496,1573508.2,11.9,0.944,4.16
AP,68,13474.3,27.2,0.955,4.19
PR,4982,676883.06,11.9,0.95,4.21
SP,41126,5163867.22,8.7,0.941,4.21
AM,147,22356.84,26.4,0.959,4.22
